COD;CCAA;Tipo_Vivienda;Metrica;Anyo;FK_Periodo;Fecha_Fecha;Valor;Variacion_Interanual_IPV
IPV769;Total Nacional;General;Índice;2007;22;2007-09-30;150,64;
IPV769;Total Nacional;General;Índice;2007;21;2007-06-30;151,72;0,7169
IPV769;Total Nacional;General;Índice;2007;20;2007-03-31;150,1;-1,0678
IPV769;Total Nacional;General;Índice;2007;19;2006-12-31;145,94;-2,7715
IPV949;Total Nacional;General;Variación trimestral;2007;22;2007-09-30;-0,7;-100,4796
IPV949;Total Nacional;General;Variación trimestral;2007;21;2007-06-30;1,1;-257,1429
IPV949;Total Nacional;General;Variación trimestral;2007;20;2007-03-31;2,9;163,6364
IPV949;Total Nacional;General;Variación trimestral;2007;19;2006-12-31;2,4;-17,2414
IPV948;Total Nacional;General;Variación anual;2007;22;2007-09-30;5,7;137,5
IPV948;Total Nacional;General;Variación anual;2007;21;2007-06-30;9,2;61,4035
IPV948;Total Nacional;General;Variación anual;2007;20;2007-03-31;11,6;26,087
IPV948;Total Nacional;General;Variación anual;2007;19;2006-12-31;13,1;12,931
IPV947;Total Nacional;General;Variación en lo que va de año;2007;22;2007-09-30;5,7;-56,4885
IPV947;Total Nacional;General;Variación en lo que va de año;2007;21;2007-06-30;6,5;14,0351
IPV947;Total Nacional;General;Variación en lo que va de año;2007;20;2007-03-31;5,3;-18,4615
IPV947;Total Nacional;General;Variación en lo que va de año;2007;19;2006-12-31;2,4;-54,717
IPV768;Total Nacional;Vivienda nueva;Índice;2007;22;2007-09-30;134,45;5502,0833
IPV768;Total Nacional;Vivienda nueva;Índice;2007;21;2007-06-30;132,48;-1,4652
IPV768;Total Nacional;Vivienda nueva;Índice;2007;20;2007-03-31;129,75;-2,0607
IPV768;Total Nacional;Vivienda nueva;Índice;2007;19;2006-12-31;125,96;-2,921
IPV946;Total Nacional;Vivienda nueva;Variación trimestral;2007;22;2007-09-30;1,5;-98,8091
IPV946;Total Nacional;Vivienda nueva;Variación trimestral;2007;21;2007-06-30;2,1;40,0
IPV946;Total Nacional;Vivienda nueva;Variación trimestral;2007;20;2007-03-31;3,0;42,8571
IPV946;Total Nacional;Vivienda nueva;Variación trimestral;2007;19;2006-12-31;2,9;-3,3333
IPV945;Total Nacional;Vivienda nueva;Variación anual;2007;22;2007-09-30;9,8;237,931
IPV945;Total Nacional;Vivienda nueva;Variación anual;2007;21;2007-06-30;11,4;16,3265
IPV945;Total Nacional;Vivienda nueva;Variación anual;2007;20;2007-03-31;13,3;16,6667
IPV945;Total Nacional;Vivienda nueva;Variación anual;2007;19;2006-12-31;13,3;0,0
IPV944;Total Nacional;Vivienda nueva;Variación en lo que va de año;2007;22;2007-09-30;9,8;-26,3158
IPV944;Total Nacional;Vivienda nueva;Variación en lo que va de año;2007;21;2007-06-30;8,2;-16,3265
IPV944;Total Nacional;Vivienda nueva;Variación en lo que va de año;2007;20;2007-03-31;6,0;-26,8293
IPV944;Total Nacional;Vivienda nueva;Variación en lo que va de año;2007;19;2006-12-31;2,9;-51,6667
IPV767;Total Nacional;Vivienda segunda mano;Índice;2007;22;2007-09-30;164,97;5588,6207
IPV767;Total Nacional;Vivienda segunda mano;Índice;2007;21;2007-06-30;169,26;2,6005
IPV767;Total Nacional;Vivienda segunda mano;Índice;2007;20;2007-03-31;168,85;-0,2422
IPV767;Total Nacional;Vivienda segunda mano;Índice;2007;19;2006-12-31;164,36;-2,6592
IPV943;Total Nacional;Vivienda segunda mano;Variación trimestral;2007;22;2007-09-30;-2,5;-101,5211
IPV943;Total Nacional;Vivienda segunda mano;Variación trimestral;2007;21;2007-06-30;0,2;-108,0
IPV943;Total Nacional;Vivienda segunda mano;Variación trimestral;2007;20;2007-03-31;2,7;1250,0
IPV943;Total Nacional;Vivienda segunda mano;Variación trimestral;2007;19;2006-12-31;2,0;-25,9259
IPV942;Total Nacional;Vivienda segunda mano;Variación anual;2007;22;2007-09-30;2,4;20,0
IPV942;Total Nacional;Vivienda segunda mano;Variación anual;2007;21;2007-06-30;7,5;212,5
IPV942;Total Nacional;Vivienda segunda mano;Variación anual;2007;20;2007-03-31;10,3;37,3333
IPV942;Total Nacional;Vivienda segunda mano;Variación anual;2007;19;2006-12-31;13,0;26,2136
IPV941;Total Nacional;Vivienda segunda mano;Variación en lo que va de año;2007;22;2007-09-30;2,4;-81,5385
IPV941;Total Nacional;Vivienda segunda mano;Variación en lo que va de año;2007;21;2007-06-30;5,1;112,5
IPV941;Total Nacional;Vivienda segunda mano;Variación en lo que va de año;2007;20;2007-03-31;4,8;-5,8824
IPV941;Total Nacional;Vivienda segunda mano;Variación en lo que va de año;2007;19;2006-12-31;2,0;-58,3333
IPV766;Andalucía;General;Índice;2007;22;2007-09-30;135,79;6689,5
IPV766;Andalucía;General;Índice;2007;21;2007-06-30;133,94;-1,3624
IPV766;Andalucía;General;Índice;2007;20;2007-03-31;130,9;-2,2697
IPV766;Andalucía;General;Índice;2007;19;2006-12-31;127,08;-2,9183
IPV940;Andalucía;General;Variación trimestral;2007;22;2007-09-30;1,4;-98,8983
IPV940;Andalucía;General;Variación trimestral;2007;21;2007-06-30;2,3;64,2857
IPV940;Andalucía;General;Variación trimestral;2007;20;2007-03-31;3,0;30,4348
IPV940;Andalucía;General;Variación trimestral;2007;19;2006-12-31;4,0;33,3333
IPV939;Andalucía;General;Variación anual;2007;22;2007-09-30;11,1;177,5
IPV939;Andalucía;General;Variación anual;2007;21;2007-06-30;11,6;4,5045
IPV939;Andalucía;General;Variación anual;2007;20;2007-03-31;12,8;10,3448
IPV939;Andalucía;General;Variación anual;2007;19;2006-12-31;15,5;21,0937
IPV938;Andalucía;General;Variación en lo que va de año;2007;22;2007-09-30;11,1;-28,3871
IPV938;Andalucía;General;Variación en lo que va de año;2007;21;2007-06-30;9,6;-13,5135
IPV938;Andalucía;General;Variación en lo que va de año;2007;20;2007-03-31;7,1;-26,0417
IPV938;Andalucía;General;Variación en lo que va de año;2007;19;2006-12-31;4,0;-43,662
IPV765;Andalucía;Vivienda nueva;Índice;2007;22;2007-09-30;119,09;2877,25
IPV765;Andalucía;Vivienda nueva;Índice;2007;21;2007-06-30;115,07;-3,3756
IPV765;Andalucía;Vivienda nueva;Índice;2007;20;2007-03-31;111,4;-3,1894
IPV765;Andalucía;Vivienda nueva;Índice;2007;19;2006-12-31;108,32;-2,7648
IPV937;Andalucía;Vivienda nueva;Variación trimestral;2007;22;2007-09-30;3,5;-96,7688
IPV937;Andalucía;Vivienda nueva;Variación trimestral;2007;21;2007-06-30;3,3;-5,7143
IPV937;Andalucía;Vivienda nueva;Variación trimestral;2007;20;2007-03-31;2,8;-15,1515
IPV937;Andalucía;Vivienda nueva;Variación trimestral;2007;19;2006-12-31;4,3;53,5714
IPV936;Andalucía;Vivienda nueva;Variación anual;2007;22;2007-09-30;14,7;241,8605
IPV936;Andalucía;Vivienda nueva;Variación anual;2007;21;2007-06-30;13,6;-7,483
IPV936;Andalucía;Vivienda nueva;Variación anual;2007;20;2007-03-31;14,4;5,8824
IPV936;Andalucía;Vivienda nueva;Variación anual;2007;19;2006-12-31;15,4;6,9444
IPV935;Andalucía;Vivienda nueva;Variación en lo que va de año;2007;22;2007-09-30;14,7;-4,5455
IPV935;Andalucía;Vivienda nueva;Variación en lo que va de año;2007;21;2007-06-30;10,8;-26,5306
IPV935;Andalucía;Vivienda nueva;Variación en lo que va de año;2007;20;2007-03-31;7,3;-32,4074
IPV935;Andalucía;Vivienda nueva;Variación en lo que va de año;2007;19;2006-12-31;4,3;-41,0959
IPV764;Andalucía;Vivienda segunda mano;Índice;2007;22;2007-09-30;150,19;3392,7907
IPV764;Andalucía;Vivienda segunda mano;Índice;2007;21;2007-06-30;151,05;0,5726
IPV764;Andalucía;Vivienda segunda mano;Índice;2007;20;2007-03-31;148,89;-1,43
